Close,High,Low,Open,Volume,Date
1.56574,1.5667,1.56334,1.56403,1780,2015-07-29T11:00:00.000000000Z
1.56507,1.569,1.56463,1.56578,2684,2015-07-29T13:00:00.000000000Z
1.56218,1.56543,1.5612,1.56505,2339,2015-07-29T15:00:00.000000000Z
1.56169,1.5656,1.56025,1.56213,6085,2015-07-29T17:00:00.000000000Z
1.56041,1.56181,1.55939,1.56164,1985,2015-07-29T19:00:00.000000000Z
1.56063,1.56081,1.55956,1.55993,3093,2015-07-29T21:00:00.000000000Z
1.56006,1.56113,1.55899,1.56063,559,2015-07-29T23:00:00.000000000Z
1.56057,1.5608,1.55971,1.56011,747,2015-07-30T01:00:00.000000000Z
1.56031,1.56075,1.55943,1.56063,331,2015-07-30T03:00:00.000000000Z
1.56047,1.56082,1.55888,1.56031,1014,2015-07-30T05:00:00.000000000Z
1.56142,1.56245,1.5591,1.56047,1899,2015-07-30T07:00:00.000000000Z
1.56187,1.56265,1.56096,1.56148,1693,2015-07-30T09:00:00.000000000Z
1.56282,1.56464,1.56061,1.56191,3810,2015-07-30T11:00:00.000000000Z
1.56095,1.56324,1.55927,1.56278,3050,2015-07-30T13:00:00.000000000Z
1.5584,1.56163,1.55625,1.561,2253,2015-07-30T15:00:00.000000000Z
1.56005,1.56006,1.55739,1.55835,1365,2015-07-30T17:00:00.000000000Z
1.56022,1.561,1.55972,1.56011,893,2015-07-30T19:00:00.000000000Z
1.55964,1.56043,1.55914,1.56025,4034,2015-07-30T21:00:00.000000000Z
1.55958,1.56116,1.55942,1.55971,544,2015-07-30T23:00:00.000000000Z
1.56098,1.56105,1.55928,1.5596,664,2015-07-31T01:00:00.000000000Z
1.56126,1.56144,1.56058,1.56096,438,2015-07-31T03:00:00.000000000Z
1.55854,1.56158,1.55854,1.56131,1041,2015-07-31T05:00:00.000000000Z
1.55661,1.5591,1.55491,1.55848,2203,2015-07-31T07:00:00.000000000Z
1.55741,1.55967,1.55558,1.55666,2474,2015-07-31T09:00:00.000000000Z
1.56551,1.56781,1.5559,1.55735,5125,2015-07-31T11:00:00.000000000Z
1.5607,1.56757,1.56017,1.56558,5348,2015-07-31T13:00:00.000000000Z
1.5625,1.56504,1.5597,1.56065,2908,2015-07-31T15:00:00.000000000Z
1.56155,1.56375,1.56149,1.56255,1579,2015-07-31T17:00:00.000000000Z
1.56201,1.56285,1.56117,1.5615,2345,2015-07-31T19:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.56282,1.56395,1.56194,1.56376,2388,2015-08-02T21:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.5623,1.56379,1.56163,1.56281,954,2015-08-02T23:00:00.000000000Z
1.562,1.56326,1.56173,1.56224,763,2015-08-03T01:00:00.000000000Z
1.56214,1.563,1.56186,1.56194,574,2015-08-03T03:00:00.000000000Z
1.56419,1.56444,1.56174,1.5622,1153,2015-08-03T05:00:00.000000000Z
1.56222,1.56452,1.56115,1.56424,2471,2015-08-03T07:00:00.000000000Z
1.55996,1.56273,1.55837,1.56228,2038,2015-08-03T09:00:00.000000000Z
1.55861,1.55992,1.55656,1.55992,2273,2015-08-03T11:00:00.000000000Z
1.5619,1.56245,1.55793,1.55856,2678,2015-08-03T13:00:00.000000000Z
1.55898,1.56191,1.558,1.56186,1783,2015-08-03T15:00:00.000000000Z
1.55834,1.55957,1.55804,1.55892,1053,2015-08-03T17:00:00.000000000Z
1.55859,1.55883,1.55814,1.55828,662,2015-08-03T19:00:00.000000000Z
1.55874,1.5593,1.55838,1.55874,3491,2015-08-03T21:00:00.000000000Z
1.55734,1.55912,1.55714,1.55869,511,2015-08-03T23:00:00.000000000Z
1.55977,1.55992,1.55738,1.55738,589,2015-08-04T01:00:00.000000000Z
1.55962,1.56,1.55858,1.55971,550,2015-08-04T03:00:00.000000000Z
1.56021,1.56181,1.55927,1.55957,1199,2015-08-04T05:00:00.000000000Z
1.55836,1.56156,1.55705,1.56016,3015,2015-08-04T07:00:00.000000000Z
1.55952,1.56034,1.55799,1.5583,2114,2015-08-04T09:00:00.000000000Z
1.56078,1.56288,1.55947,1.55958,1718,2015-08-04T11:00:00.000000000Z
1.55975,1.56152,1.55602,1.56073,2693,2015-08-04T13:00:00.000000000Z
1.56304,1.56344,1.55969,1.5598,1891,2015-08-04T15:00:00.000000000Z
1.55673,1.56317,1.55603,1.56302,2479,2015-08-04T17:00:00.000000000Z
1.55647,1.55755,1.55581,1.55675,1158,2015-08-04T19:00:00.000000000Z
1.5566,1.55684,1.55611,1.55648,3429,2015-08-04T21:00:00.000000000Z
1.5569,1.55696,1.55595,1.55659,824,2015-08-04T23:00:00.000000000Z
1.55392,1.55692,1.55263,1.55689,1103,2015-08-05T01:00:00.000000000Z
